L0 Level,Translated Description,Translated Short Description,Reported Problem Code L1,Reported Problem Code L,Reported Problem Code L3
Software,01/IntelliSpace IX/LX Workstations/SW ERROR,01/IntelliSpace IX/LX Workstations/SW ERROR,,,
Software,Image not transferring,Image not transferring,,,
Software,"01/	IntelliSpace Portal Solutions/Unable to transfer data","01/	IntelliSpace Portal Solutions/Unable to transfer data",,,
Software,"Alarm synchronization of the time that is geneing the automatic filters. 
 Significant loss of time.",Synchronization alerts,,,
Software,PSA does not work,PSA does not run,,,
Software,05R/IntelliSpace Portal Solutions/add dicom node,05R/IntelliSpace Portal Solutions/add dicom node,,,
Software,Check the Q/R of the resonances to the Portal,Review of Q/R of resonances to the portal,,,
Software,Unable to login in PACS Server from PET CT Machine,Unable to login in PACS Server from PET CT Machine,,,
Software,On the personal account of Doctor KAYAYAN of the ISP there are problems. Some software cannot be used and cannot be accessed + complete malfunction.,Assistance,,,
Software,SW Upgrade,SW Upgrade,,,
Software,"They are having problems when saving series of postprocessing studies in ISP. More often, they confirmed that there are several studies waiting and in error.",Error when saving Chc studies,,,
Software,"I request support on the monitoring Central, since the CTG, working in the inpatient service, alarms sound in the obstetrics consultation.
We had intervention on your side after requesting support on 6.12.22, since this service we have had this problem
IP: 50222525",Support request at the Monitoring Center,,,
Software,"After upgrade of The Rabbit MQ on the latest version because of CPU Gen 3 of VMware, there are a lot of information going from erl.exe.",A lot of information about Rabbit MQ in Event Windows Application log,,,
Software,Users are still reporting slowness with ISP,Users are still reporting slowness with ISP,,,
Software,Request for configuration of new portal mode,Request Configuration New Modality Portal,,,
Software,cant run advance analysis,cant run advance analysis,,,
Software,ISP closes when users are trying to use Volume Rendering,ISP closes when users are trying to use Volume Rendering,,,
Software,Error - Cannot find all Slices please rebuild database.,Error - Cannot find all Slices please rebuild database.,,,
Software,Users unable to login with their domain accounts or local ones. Password has expired message.,Users unable to login,,,
Software,02N/IntelliSpace IX/LX Workstations/SW problem,02N/IntelliSpace IX/LX Workstations/SW problem,,,
Software,SA:01/IntelliSpace Portal Solutions/Unable to start,SA:01/IntelliSpace Portal Solutions/Unable to start,,,
Software,ISP PC not switching On,ISP PC not switching On,,,
Software,Software upgrade 12.1.4 to 12.1.7,Software upgrade 12.1.4 to 12.1.7,,,
Software,Remote Alert: System RAM exceeds the normal performance threshold.,Remote Alert: System RAM exceed normal performance threshold,,,
Software,Reporting system is hanging,Reporting system is hanging,,,
Software,"Issue: Malfunction
Description of error: With Dr. Bunck, the ISP does not work again. The computer number is KR1035967. Philips is being asked to please fix the problem.",The ISP does not work,,,
Software,05K/IntelliSpace Portal Solutions/Modify the parameters,05K/IntelliSpace Portal Solutions/Modify the parameters,,,
Software,SA:05R/IntelliSpace Portal Solutions/install,SA:05R/IntelliSpace Portal Solutions/install,,,
Software,Cannot burn MRI image from the ISP.,probl?me d'image,,,
Software,"The studies are not being passed to the portal or partially.
They pass well to PACS.",Studies do not pass to Portal,,,
Software,"Dear Helpdesk!

System IntelliSpace Portal, SN 7001259, SW 12.1.4.11348

I got an order to upgrade customer's ISP from v12.1.4 to 12.1.7. According to installation manual, I must before that install a patch version 12.1.5.
But for some reason I can't do this.

System is installed on HyperV virtual machine and is NOT connected to PRS.

While logged in as fse_admin, I ran v12.1.5 updater from ""459801635936 IntelliSpace Portal V12.1.5.11492.iso"", but installation stops on step 3.
It stays there for about 10min. After that installation stops with problem message.

 

With this one.

 

This happened few times. I also tried to use ""300009054411 IS Portal Media Menu V12.1.5.11492.iso"", but with same results. I also tried to stop mentioned service ""PmsRemotingService"" manualy via task manager. But without success.

Do you have any suggestions on this case?
Please find attached installation logfile.


-- 

Ar cie?u / Kind regards,
-----
J?nis Egl?tis",ISP upgrade problem,,,
Software,The call from VuePACS to Portal does not work.,The call does not work from Vuepacs to Portal,,,
Software,Not able to send to server - unable to connect - happened at 13:32,Not able to send to server - unable to connect - happend 13.32,,,
Software,"When trying to load the cranial MR images to perform post perfusion processing the following message appears: ""Data loading failed. application will exit"".",When trying to load the chrion RM images to perform perforation processing the following ...,,,
Software,Problems with recovery of examinations.,Problems Recovery of exams,,,
Software,no video,no video,,,
Software,Priors are taking a long time to load,Priors are taking a long time to load,,,
Software,ISP portal application crashes when AVA update vessels is being used.,ISP portal application crashes when AVA update vessels is being used.,,,
Software,Bookmark failed to load,Bookmark failed to load,,,
Software,V12.1.5 software upgrade due to bag restoration,SC:????????V12.1.5 Software Upgrade,,,
Software,Bookmarks are not being saved which is forcing the users to re-do measurements from the start. This is an intermittent problem and is occurring in the Cardiac MR Analysis application.,Bookmarks are not being saved in the Cardiac MR Analysis application.,,,
Software,Can't save filet Batch. 'Save operation failed' message briefly shown in bottom right corner of screen. Same issue as before ISP upgrade.,ISP appears to still have memory issues after upgrade.,,,
Software,"If a specific user try to login with his client, client software crash. 

As discussed briefly, Christof cannot start the ISP anymore? But then I see his user session in the portal management.

PCName D20214107
User: Christof.Schaub",User Login,,,
Software,WeChat?05R/Extended Brilliance Workspace/client cannot connect,WeChat?05R/Extended Brilliance Workspace/client cannot connect,,,
Software,01/IntelliSpace IX/LX Workstations/consult for add dicom node,01/IntelliSpace IX/LX Workstations/consult for add dicom node,,,
Software,05L/IntelliSpace IX/LX Workstations/SW error,05L/IntelliSpace IX/LX Workstations/SW error,,,
Software,"Hospital IT detected VA on ISP integrated software and ask are we able mitigate or upgrade.

? Apache (2.4.46)
? OpenSSL (1.1.1g)
? Microsoft SQL Server (11.0.5058.0)
? Microsoft SQL Server (15.0.4073.23)
? PHP (7.4.11)
? Apache Log4j (1.2.17)
? Apache Log4j (1.2.13)","MAH, ISP, VA Detected",,,
Software,INTEGRATION NOT WORKING,INTEGRATION NOT WORKING,,,
Software,EBW does not start.,EBW does not start,,,
Software,"Issue malfunction: Email Marco Hiemke / Remote Support Engineer DCP/ICAP DACH

Lung evaluation on the client in Rodenfelde cannot be saved by Ms. H?tzel.
Contact person Heuser, Heike  
Heike.Heuser@Med360Grad.de",Lung evaluation on the client in Rodenfelde cannot be saved by Ms. H?tzel,,,
Software,"When login, the application does not open and the session closes automatically.",When login does not open the application and the session closes automatically,,,
Software,"After the password is written, it returns to the password page again.",After writing?,,,
Software,"In IntelliSpace we need to change the IP of the 'Brachytherapy Panifier' that goes from 10.35.9.54 to 10.127.162.22. 
None of the other DICOM parameters are changed.
Location: University Hospital Ram?n y Cajal",In Intellispace you have to change the ip of ?panifier brachytherapy? that goes from 10.35.9.54 to 10.127.162.22.,,,
Software,"It is requesting to modify the IP of the dicom nodes of the machine:
- Worklist new 10.144.1.193 (old 10.10.1.233)
- Pacs new 10.144.1.194 (old 10.10.1.234)

In order to connect from remote desktop use the following credentials: 
Hostname: PHILIPS-ISP
IP: 10.10.88.32
User: IT_admin
Password: Philips!
I kindly ask you also to contact me by phone at the end of the modification since it is necessary to carry out an update on ESTENSA.",Edit ip knots dicom,,,
Software,Client installation - on-site detection,Client installation - on -site detection,,,
Software,Check PACS connect.,Check connection of pacs,,,
Software,Getting data full error,Getting data full error,,,
Software,There is a regular slow-down starting at 16:00. Request for settings to correct.,Regular slow-down at the end of the day.,,,
Software,Unable to open IntelliSpace portal in CT work station. we are unable to the IP 192.168.5.214,Unable to open IntelliSpace portal in CT work station,,,
Software,THE APPLICATION DOES NOT ENTER,The application does not enter,,,
Software,Support for upgrade and client separation,Support in the upgrade and client separation,,,
Software,question for MR cardiac,question for MR cardiac,,,
Software,into,"ISP12 AVA, unlike in ISP10, the process requires much long time that customer clime may be significant for stroke cases.",,,
Software,User needs a change of permission in account to pull up calcium template.  Getting error and cannot change.,ISPv12: Error HTTP 500 to edit user preferences in PMT,,,
Software,Cannot delete study,Cannot delete study,,,
Software,Wechat:05R/IntelliSpace Portal Solutions/unavailable,Wechat:05R/IntelliSpace Portal Solutions/unavailable,,,
Software,SA:05R/IntelliSpace Portal Solutions/can't login,SA:05R/IntelliSpace Portal Solutions/can't login,,,
Software,Wechat:05R/Extended Brilliance Workspace/software issue,Wechat:05R/Extended Brilliance Workspace/software issue,,,
Software,SA?02N/IntelliSpace Portal Solutions/software running stuck,SA?02N/IntelliSpace Portal Solutions/software running stuck,,,
Software,SA:01/Brilliance Workspace Portal/software crash,SA:01/Brilliance Workspace Portal/software crash,,,
Software,01/IntelliSpace IX/LX Workstations/add the PACS,01/IntelliSpace IX/LX Workstations/add the  PACS,,,
Software,into,ISP12: PD When using French localization Filtering show less cases than in English localization,,,
Software,Upgrade,upgrade,,,
Software,"The radiologists cannot report, the local equipment does not reach the studies, it freezes, they have to restart.
Location: Ground floor.",The local team does not arrive,,,
Software,Workstation is not switching on,Workstation is not switching on,,,
Software,Portal gives an error when starting session,Portal gives error at the beginning of session,,,
