PR ID,L0 Level,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Translated Short Description,Translated Description,Coding Table Revision
3226256,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",05K/IntelliSpace IX/LX Workstations/add node,05K/IntelliSpace IX/LX Workstations/add node,A
3226404,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,ISP system is not booting up,ISP system is not booting up,A
3226894,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Protocol AVA head automatic error,Protocol AVA head automatic error,A
3227094,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data transfer interrupted or stopped,The images that were sent to the Dynacad and automatic forward to the portal are not arriving.,They tell us from Radiology that the images that are sent to dynacad and that later they are automatically sent to the portal are not arriving.,A
3227234,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",Additional dicom node configuration,Additional DICOM node configuration,A
3227445,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,Jetpack does not start,"It reports message idl virtual machine, they cannot access.",A
3227731,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",ISP - CROLLES - No source of authentication displayed,"After yesterday's service, impossible to connect once the iD and the password insert message, no authentication source was selected.",A
3228164,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Problem with the operating system at the descriptive station- the system logs in And at some point he asks for tests after tests ...,"A problem with the operating system on the descriptive station - the system logs in and at one point it asks for tests, it does not detect errors after tests, the system does not start.",A
3228389,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Slowness and absence of patient on the premises,Slowness and absence of patient on the room.,A
3228738,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Data loss, missing data",Local folder missing and cannot save image on this folder,Local folder missing and cannot save image on this folder,A
3229259,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Displays error message in the Workstation Pro Vivace and Pro Orthanc images,Displays an error message when resending images from the pro vivace workstation and pro ORTHANC,A
3229277,Software,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Incorrect, inaccurate or inconsistent data, information report or exam",How long are log data kept in the ISP.,"Message:
How long is log data kept in the ISP?
Request for call-back today 01577 373 1169 or via email",A
3229433,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Software failure for cardiological studies,Software failure for cardiological studies,A
3229673,Software,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Data does not export,SPACS - PROBLEMS PORTAL OPERAL,"From the Hospital de Coru?a they tell us that they cannot transfer studies to the Portal, the application does not work correctly, leaving studies in Error.",A
3229755,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,SPACS - Error portal opening CHV studies,"SPACS - PORTAL Error when opening CHV studies
From the CHV center they tell us that when they try to view studies an error appears",A
3230648,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),ISP not launching,ISP not launching,A
3230864,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Slowness when launching ISP,Slowness when launching ISP,A
3231483,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",EL SERVIDOR REQUIERE UN UPGRADE PARA QUE CORRA LA APLICACI?N,THE SERVER REQUIRES AN UPGRADE TO RUN THE APPLICATION,A
3231658,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Wechat:05R/IntelliSpace Portal Solutions/disk error,Wechat:05R/IntelliSpace Portal Solutions/disk error,A
3232638,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Error in Volumetry in ISP system,Error in Volumetry in ISP system,A
3233466,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),05L/IntelliSpace Portal Solutions/Software doesn't work,05L/IntelliSpace Portal Solutions/Software doesn't work,A
3234519,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,05R/Portal/system slow,05R/Portal/system slow,A
3235295,Software,"Connectivity & Compatibility, Interoperability, Network & Transmission","Network and bluetooth (connection dropped, lost, unable to connect, detect)","Need to add node, configuration, access point or expand network",05K/IntelliSpace IX/LX Workstations/need onsite add node,05K/IntelliSpace IX/LX Workstations/need onsite add node,A
3235433,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",EBW system is hanging,EBW system is hanging,A
3235635,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates","Could not upgrade, update, patch",You are charged upgrade 12.1.7,Request for upgrade rel 12.1.7,A
3236580,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),One ISP system application is not functioning,One ISP system application is not functioning,A
3237086,Software,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,User unable to log in,User unable to log in,A
3237375,Software,"Software, OS or firmware","Installation, migration, and upgrades/updates",Could not migrate or install,VIP IMSS CLIENTE - SOLICITA ACTUALIZACI?N DEL SOFTWARE,VIP IMSS CLIENT - REQUESTS SOFTWARE UPDATE,A
3237449,Software,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Expired Certificate Message,Expired Certificate Message when opening clients,A
3237542,Software,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),"NO INICIA SESI?N , PROBABLE FALLA DE SOFTWARE","DOES NOT START SESSION, PROBABLE SOFTWARE FAILURE",A
3237660,Software,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Need SMPTE pattern,"no smbt on the device, need to bring it up",A
