PR ID,Project,Short Description,Reported Problem Code L0,Reported Problem Code L1,Reported Problem Code L2,Reported Problem Code L3,Problem Source Code-L1,Problem Reason Code-L2,
5605114,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Since the Portal update, they cannot see the studies in two computers in The Recerca.",Imaging and Images,Cannot view or access image(s),into,Configuration,Configuration Issues
5605157,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Siemens CT node configuration on Philips work station,Duplicate Complaint,Duplicate Complaint,into,,
5605180,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Problem with image output.,Imaging and Images,Image routing,Cannot route image,ICAP-MR General,Functional - Performance
5605278,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Significant slowdown in the use of portal application,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Confirmed,Restart resolved
5605299,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,EBW system hanged totally,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",ICAP-Hardware,Disk Drive
5605356,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Requests configuration of an ICOM node.,Non-Complaint,Non-Complaint,into,,
5605430,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Login in Portal not working on two reporting WS,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,,
5605455,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Login to Portal is not working on two reporting WS,"Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",All or multiple users,,
5605501,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,05K for IB/IntelliSpace IX/LX Workstations/AP problem,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5605550,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,CT Brain Perfusion : Save all maps in one go,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5605609,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"Cardiac CT: Save Dialog : User like to have ability to Save with one click/button, similar to the save functionality in","Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5605881,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Out of domain and no longer reachable,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Unable to Confirm/Replicate Allegation,No problem found
5605932,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ACC - sending image to Sectra failed,Imaging and Images,Image routing,Cannot route image,Use Error,User Error
5606398,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,No certificate error - please contact support - NO NPS,Duplicate Complaint,Duplicate Complaint,into,,
5606498,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Free disk space: 2%,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Database,Database Full/Corrupt
5606531,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Brain perfusion preprocessing fails with studies from CT7500,Imaging and Images,Image routing,Cannot route image,,
5606742,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Liver segmentation application error,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5607369,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,WEAR OF ELECTROCARDIOGRAPHY WIRE,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",,
5607506,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP11 Customer ask CVE-2024-47796 and CVE-2024-52333 vulnerabilities applies to your product and if there is remediation,Non-Complaint,Non-Complaint,into,ICAP-System General,Assistance Request
5607513,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP - Montredon - Display problem depending on the sessions,Displays & Monitors,Monitor/display has partial screen or works intermittently,nan,ICAP-MR T1 Perfusion Analysis,Reliability
5607668,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,AVW 15- Calais - LOBI error in Comparison mode,Alarms or Messages,"Audio/ Visual alarm/ Message displayed, not sent and/or received",Error/Warning Message or error code,ICAP-MR Longitudinal Brain Analysis (LOBI),Functional - Performance
5607984,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,ISP system software update to version 12.1.12.,Non-Complaint,Non-Complaint,nan,,
5608016,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,There is no direct connection from workstation to CT,"Connectivity & Compatibility, Interoperability, Network & Transmission",Philips equipment or software,"Unable to connect, connection dropped or lost (link, interface, detect, recognized, etc.)",Configuration,Configuration Issues
5608034,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,ISP12 User looking on information about security vulnerability,Privacy or security,Vulnerability,nan,,
5608245,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,FSE  needs to be onsite to configure the EBW on the new PACS,Non-Complaint,Non-Complaint,nan,,
5608569,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,customer states the camera is down,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Insufficient information
5608620,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"THE DISK BURNER IS NOT WORKING, IT DOES NOT ALLOW TO RECORD DISKS AND IT IS SPECIFICALLY REQUIRED FOR CORONARY STUDIES.","Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD)
5608843,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,RAM usage is over 90% - needs assistance with the Server processing,"Device, System or Product Hardware","Computers, workstations, & servers (damaged, not functioning)","Physically damaged, deformed or not functioning",ICAP-System General,Usability - Workflow
5608929,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,monitor need to be replaced,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5608980,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,WeChat:05R/IntelliSpace Portal Solutions/can't power on,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),Main Power Supply,Damaged Connector
5609233,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,KA:05K/IntelliSpace IX/LX Workstations/image auto delete setting,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",nan,,
5609391,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,IP of ISP was incorrect.,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,Configuration,Configuration Issues
5609533,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,The CD drive can not record data on DVD media,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",ICAP-Hardware,Removable Media (CD DVD)
5609559,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"05K for IB/	IntelliSpace Portal Solutions/nemo mouse","Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5609994,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,"Cannot open images, CHECK SYSTEM IP!",Imaging and Images,"Image acquisition, editing","Cannot acquire image, aborted",Configuration,Configuration Issues
5610039,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,01/ISP/optical driver,"Device, System or Product Hardware","Accessories (damaged, not detected, not aligned, not able to be used)","Physically damaged, deformed or not functioning",,
5610071,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,AVW15 MMV 3D IRM images are blurry while scrolling,Imaging and Images,"Image acquisition, editing","Interventional scan image is slow or delayed, not displaying as expected",ICAP-MM Multimodality Viewer,Functional - Performance
5610524,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,DVD Writer not functioning,"Device, System or Product Hardware","Removable media storage Issue (CD, DVD, USB, etc.)","Physically damaged, deformed or not functioning",,
5610568,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,MR exams crashed while open the IV viewBlod Apps,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Not starting or launching (failure to start up or launch),,
5610703,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,SW run slowly,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)",Slow performance or delayed or slow to boot up,Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5610717,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,System hung up.,"Software, OS or firmware","Software & OS performance (frozen, delayed, slow, failed start/launched.)","Intermittent freezing, completely frozen (locked up)",Database,Database Full/Corrupt
5610731,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,"ISP Client Login problem, User Login is not possible.","Software, OS or firmware","Cannot login (user name and/or password), disabled or locked",Single User,User Error,User Error
5610895,Clinical Informatics-ICAP-Haifa-146,Complaint,Image Related,EBW Contrast images red color is coming,Imaging and Images,"Image acquisition, editing","Image is slow or delayed, not displaying as expected",Unable to Confirm/Replicate Allegation,Unable to determine cause - Cancelled by Customer
5610947,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,Autodelete failure,"Data (Analysis, Processing, Transferring, Archiving)","Incorrect, inaccurate, imprecise, or unexpected result","Cannot add, edit or delete",,
5610997,Clinical Informatics-ICAP-Haifa-146,Complaint,Software,Malfunction of an application,"Software, OS or firmware","Workflow, exam, settings, presets & configuration (incorrect, inability to change settings/config.)",Incorrect or inability to change settings or configuration,,
5611055,Clinical Informatics-ICAP-Haifa-146,Complaint,Others,No more transfer of examinations on the console.,"Data (Analysis, Processing, Transferring, Archiving)",Data did not transfer/ could not be archived,Could not initiate data transfer,Server,Restart resolved
